,Assigned Segment.Curious,Assigned Segment.Cheap + Comfy,Assigned Segment.Craver,Assigned Segment.Cheap + Curious,Assigned Segment.Comfy,Assigned Segment.Caviar
Where do you belong  (choose up to 3).6,-0.004910432155311959,-0.021434709901482527,0.005254886770900182,0.009083929908478063,-0.03031325744820963,0.021682776027926107
Where do you belong  (choose up to 3).1,-0.04600781794086758,0.03178647736104304,-0.06429894090345951,0.00012448412428336085,0.059640437915474874,0.04624498964919731
Where do you belong  (choose up to 3).8,-0.04478023204249759,-0.04068381021724842,0.039808326206951905,-0.01788018678567638,-0.08630339426736885,0.07502727608725324
Where do you belong  (choose up to 3).9,-0.09043592042660938,0.01421338109037378,-0.006418855460359831,-0.01124398706292914,0.062129610397842774,0.03781463978363012
Where do you belong  (choose up to 3).4,0.0050254659211589284,-0.030678599553894455,0.00969825873994536,0.09404380107803886,-0.007231015260622153,-0.03704305164992762
Where do you belong  (choose up to 3).2,0.04948863729587402,-0.010286889997472508,0.05605722658814928,-0.03187305149137251,0.01454785934906631,-0.08266608044944955
Where do you belong  (choose up to 3).3,0.18512641986696768,-0.01127516819152916,0.018127304196719714,0.027204816759572367,-0.04145828901369461,-0.14408047720997258
Where do you belong  (choose up to 3).7,-0.0797466939271877,0.014891645083561082,-0.055848100185252846,-0.04494536408716699,-0.022891267873064704,0.14201944417168205
Where do you belong  (choose up to 3).5,-0.03945190683523359,0.04703208308041003,0.04056422574511704,-0.030822913552868064,-0.014346029555857006,0.0009436550262883213
What reeled you in  (select all that apply).Basic beverages included ,-0.018905067940050292,-0.006584863977663943,0.06750452120723983,-0.00846492491624553,-0.013968605915391636,-0.03166896611922979
What reeled you in  (select all that apply).Price,-0.0034907784255672316,-0.01619552660357841,-0.021698215670498344,-0.020819551799911976,0.01908661114379636,0.024195641932839664
What reeled you in  (select all that apply).No kids!,-0.0002875588504352816,0.0024706189579315734,-0.05539686886088422,-0.006229868787959101,-0.0008734957094407775,0.05276153692244015
What reeled you in  (select all that apply).All food included in ticket price,-0.015228758432657582,-0.005661385170722857,0.09204186279594194,-0.026871808141826898,0.005822841956548843,-0.06210216025236333
What reeled you in  (select all that apply).Tom Dixon designed luxury suites,-0.026757566447801688,-0.009319984249239941,0.030725448736000083,-0.011980956198642059,-0.019770672189568177,0.013923783229406518
What reeled you in  (select all that apply).Ship itinerary ports,-0.04208863209016762,0.048096288963371675,0.06045566250460867,-0.051523650324693436,-0.08502303018976959,0.03822394026409917
What reeled you in  (select all that apply).Extras that come with suites,-0.06205246778715628,-0.02991412017977058,-0.0054037645916021415,-0.03845497524569032,-0.004230495446468854,0.08240252295244943
What reeled you in  (select all that apply).Easy to get to Miami,-0.04315522611384169,0.04358009644553032,-0.01686947601923652,0.07633870386489014,-0.017609018126512607,0.014779758954448429
What reeled you in  (select all that apply).Residency DJ programme,-0.026757566447802094,-0.009319984249239993,0.03072544873600029,-0.01198095619864224,-0.019770672189568295,0.013923783229406343
What reeled you in  (select all that apply).The Virgin brand,0.02335045424741333,-0.05504818825631888,-0.035467104960886196,-0.002177388731985374,0.040104491062867204,0.007059904713710069
What reeled you in  (select all that apply).Tips included,0.07052790811948847,-0.03694844669685898,-0.015240025350468984,-0.009986693767972543,0.04354416202276369,-0.053485926750271515
"What reeled you in  (select all that apply).Green (e.g., no single use plastics)",0.08276723247280196,-0.026666666666666762,-0.004817136129808171,-0.03428033318008868,-0.056568542494924184,-0.0021829708602236096
What reeled you in  (select all that apply).Ship itinerary lengths,-0.04666437400480578,0.1728492750352171,-0.022602406711280904,0.019218208192028987,0.01337763024384381,-0.015663208406963544
What reeled you in  (select all that apply).Something else,-0.035521946146642405,-0.023017413505937376,-0.004157925533031941,-0.02958917264727731,0.02712628195903915,0.03438734096406035
What reeled you in  (select all that apply).Unique entertainment experiences,0.0027799141520188217,0.06474628297200802,0.03421061634384572,-0.005506127224353676,0.0027469521447677763,-0.05387675499179527
What reeled you in  (select all that apply).Free Wi-Fi,0.004449117760477406,-0.03822547860539984,0.07617243624194002,-0.012757326147533592,0.013514747567989609,-0.0633661273032133
What reeled you in  (select all that apply).Fitness classes included,0.04004173354170101,-0.02097722585091838,-0.04755672804365711,0.1008131704622992,0.03856616048913193,-0.04799644513750708
What reeled you in  (select all that apply).Quality of dining,-0.010806609684246514,0.018136537986955144,-0.048112065776690194,-0.002258408462338245,0.03514854466070228,0.024772202827577045
What reeled you in  (select all that apply).Ship design,0.018959834274734633,-0.014529511954331234,-0.0026246488868882506,0.07767768908167731,-0.051700998810231345,-0.007098069827143414
What were your top 3 reasons for booking with virgin voyages.Price,-0.016472705814555993,0.07141466813310401,0.029184809368394363,-0.024079855254573092,0.05298129428260211,-0.06056948371791465
What were your top 3 reasons for booking with virgin voyages.Basic beverages included ,,,,,,
What were your top 3 reasons for booking with virgin voyages.Residency DJ programme,-0.03790269449076482,-0.013201967239689187,0.08943141568338185,0.08355098503553711,-0.028005601680560703,-0.0634929824881853
What were your top 3 reasons for booking with virgin voyages.Ship itinerary ports,-0.04777540468562502,-0.032160362659073405,-0.0009472062528633894,0.0012444245222794155,0.014830963383684552,0.039232842168323775
What were your top 3 reasons for booking with virgin voyages.Ship itinerary lengths,-0.026757566447801882,-0.009319984249239972,-0.0340926212002192,-0.011980956198642225,0.0724924646950829,0.013923783229406362
What were your top 3 reasons for booking with virgin voyages.Unique entertainment experiences,-0.03945190683523306,-0.023977140393934386,0.04056422574511633,0.0815256944268173,-0.014346029555856982,-0.022308004821453693
What were your top 3 reasons for booking with virgin voyages.Free Wi-Fi,-0.00349077842556677,-0.01619552660357826,0.015847011444746133,0.06139098607666214,-0.03435590005883183,-0.009832932109692745
What were your top 3 reasons for booking with virgin voyages.The Virgin brand,-0.013080711859077068,0.01504726477211953,0.04100469607749468,-0.00021774987094439589,-0.017127841835916306,-0.020745150760566267
What were your top 3 reasons for booking with virgin voyages.All food included in ticket price,0.0031037712177301286,0.03750000000000023,-0.02799960375450916,-0.034280333180088635,0.04242640687119286,-0.00218297086022386
What were your top 3 reasons for booking with virgin voyages.Something else,0.0825220019804104,-0.01619552660357865,0.01584701144474621,-0.020819551799912284,-0.034355900058832024,-0.04386150615222442
What were your top 3 reasons for booking with virgin voyages.No kids!,-0.002277894634191861,0.010382168353416543,-0.025512749433427323,-0.049349844952906945,0.05923670983421614,0.004234841129506989
What were your top 3 reasons for booking with virgin voyages.Tom Dixon designed luxury suites,,,,,,
"What were your top 3 reasons for booking with virgin voyages.Green (e.g., no single use plastics)",0.08252200198041028,-0.016195526603578352,-0.059243442785742985,-0.020819551799911816,-0.03435590005883202,0.02419564193283954
What were your top 3 reasons for booking with virgin voyages.Fitness classes included,0.06726874607820511,-0.013201967239689215,-0.00238483775155686,0.08355098503553725,-0.028005601680560762,-0.06349298248818558
What were your top 3 reasons for booking with virgin voyages.Extras that come with suites,-0.02188648381014673,-0.01988434434216088,0.05018765995284353,-0.025561573091882908,-0.042181064171371185,0.015780232866129573
What were your top 3 reasons for booking with virgin voyages.Quality of dining,0.03951561177742155,-0.016195526603578536,-0.021698215670498323,-0.020819551799912194,0.019086611143796332,-0.009832932109692763
What were your top 3 reasons for booking with virgin voyages.Easy to get to Miami,-0.04649716862855513,-0.016195526603578297,-0.05924344278574313,-0.02081955179991178,0.0190866111437961,0.09225279001790239
What were your top 3 reasons for booking with virgin voyages.Ship design,-0.0032187819962307936,-0.032160362659073655,-0.039845809703783014,0.08641836960275187,-0.012853501599193327,0.021605248604729725
What were your top 3 reasons for booking with virgin voyages.Tips included,-0.010415042134771974,0.0787838597158352,0.005534558415791618,-0.022506141335600718,0.11141720290623318,-0.08419994677848369
May we ask what kind of vacation you decided to go on instead.A different cruise,0.048706646769977525,-0.02397714039393442,0.014909643549026198,0.08152569442681833,-0.014346029555857048,-0.06881132451693853
May we ask what kind of vacation you decided to go on instead.An all-inclusive resort,-0.02675756644780149,-0.009319984249239925,-0.034092621200219074,0.1299472941544988,-0.019770672189568152,0.013923783229406482
May we ask what kind of vacation you decided to go on instead.Something else,-0.032797911558518605,-0.011423909559550758,0.06414495859733886,-0.014685578472022457,-0.02423377175166051,-0.006935898404286139
Are you planning to book a virgin voyage.Yes,0.04784962724190846,0.011909826683509254,0.019721369393302525,0.018058221186613085,-0.09442309418018716,-0.006987178736361548
Are you planning to book a virgin voyage.Maybe,0.04030168478237835,-0.06622411396403335,0.05421117156337757,0.007602408946139316,0.040368551777620325,-0.08818795535855666
Are you planning to book a virgin voyage.Probably Not,-0.03279791155851858,-0.011423909559550641,0.011178075894978707,-0.014685578472022337,-0.02423377175166054,0.041069870326503076
When (are you planning to book a virgin voyage).Within the next month,0.10932171955782556,-0.026666666666666762,-0.027999603754509553,0.0672421920070964,-0.02357022603955182,-0.06521625444918683
When (are you planning to book a virgin voyage).In 2020 or later,0.03399339259517543,0.01621448905255276,0.031120917602445553,-0.0408861669813282,-0.07707279970371032,0.00558589291973347
When (are you planning to book a virgin voyage).In the next 2-3 months,-0.04649716862855526,0.08772576910271762,-0.02169821567049854,-0.020819551799911937,0.019086611143796194,0.024195641932839282
When (are you planning to book a virgin voyage).By the end of the year,-0.03118421001684823,-0.02833152987899316,0.0277218573516695,0.05945574621696223,-0.060100250696475954,0.02248392661337504
What is holding you back (from booking a virgin voyage).I prefer a different vacation,-0.018905067940050268,-0.006584863977663943,0.06750452120723978,-0.008464924916245538,-0.013968605915391636,-0.031668966119229786
What is holding you back (from booking a virgin voyage).I want to see reviews first,0.013314753858392168,-0.019884344342160833,-0.011274762573899068,-0.02556157309188265,0.08904891325067169,-0.03992534561831656
What is holding you back (from booking a virgin voyage).Cost of airfare,-0.01890506794005031,-0.006584863977663942,0.0675045212072399,-0.008464924916245523,-0.013968605915391638,-0.031668966119229786
What is holding you back (from booking a virgin voyage).Commitment from travel companions,0.09880655084522848,-0.01477232191692416,0.028152788001249634,-0.01899000439333816,-0.03133682700398365,-0.07104537980986492
What is holding you back (from booking a virgin voyage).I don't have the time for a vacation,-0.026757566447802295,-0.009319984249240014,-0.034092621200219365,0.27187554450764434,-0.019770672189568343,-0.04482313779329512
"What is holding you back (from booking a virgin voyage).Logistics (e.g., work, child care)",0.039515611777421224,-0.01619552660357833,-0.021698215670498698,0.14360152395323683,-0.03435590005883202,-0.04386150615222463
What is holding you back (from booking a virgin voyage).Something else,-0.03477990960184843,-0.02913224817729919,-0.042584907839311216,-0.037449869017606933,0.059630450687146154,0.053187468169851426
What is holding you back (from booking a virgin voyage).I'd prefer more itinerary choices from Virgin,-0.03651075025680152,-0.03885143449429082,0.15264637917531543,-0.049944004462074185,-0.01248732399533532,-0.068114275594955
What is holding you back (from booking a virgin voyage).Cost of voyage,0.09854850142414483,-0.02490291225458791,-0.06635327234233013,-0.03201300484656612,0.01760901812651224,-0.007644702907473333
Assigned Segment.Curious,1.0,-0.07655969003734138,-0.2800563221833933,-0.09841843809916534,-0.16240762797283417,-0.36820293298624157
Assigned Segment.Cheap + Comfy,-0.07655969003734138,1.0,-0.09754700662861314,-0.03428033318008888,-0.056568542494924184,-0.12824953803815106
Assigned Segment.Craver,-0.2800563221833933,-0.09754700662861314,1.0,-0.12539789579809482,-0.20692844961462561,-0.46913844514215386
Assigned Segment.Cheap + Curious,-0.09841843809916534,-0.03428033318008888,-0.12539789579809482,1.0,-0.07271956815892364,-0.16486638353025743
Assigned Segment.Comfy,-0.16240762797283417,-0.056568542494924184,-0.20692844961462561,-0.07271956815892364,1.0,-0.27205835409245466
Assigned Segment.Caviar,-0.36820293298624157,-0.12824953803815106,-0.46913844514215386,-0.16486638353025743,-0.27205835409245466,1.0
